language,coordinates,consonants,vowels
Turkish,"(39.8667, 32.8667)",25,8
Korean,"(37.5, 128.0)",21,11
Tiwi,"(-11.6308, 130.94899999999998)",22,4
Liberia Kpelle,"(6.92048, -9.96128)",22,12
Tulu,"(12.8114, 75.2651)",24,13
Mapudungun,"(-38.7392, -71.277)",20,6
Kiowa,"(34.9403, -98.9042)",22,20
Japanese,"(35.0, 135.0)",15,5
Yoruba,"(7.15345, 3.67225)",18,11
Finnish,"(64.7628, 25.5577)",17,8
Hawaiian,"(19.6297, -155.43)",8,5
Hungarian,"(46.9068585714, 19.6555271429)",26,14
Georgian,"(41.850396999999994, 43.78613)",28,6
Amharic,"(11.708182, 39.543456)",30,7
Sandawe,"(-5.26918, 35.4808)",47,7
Tlingit,"(59.4447, -135.29)",43,5
Lakota,"(46.3699, -103.95)",28,8
Yucatec Maya,"(18.7757, -88.9567)",20,10
