state,capital,latitude,longitude,population
Alabama,Montgomery,32.377716,-86.300568,4893186
Alaska,Juneau,58.301598,-134.420212,736990
Arizona,Phoenix,33.448143,-112.096962,7174064
Arkansas,Little Rock,34.746613,-92.288986,3011873
California,Sacramento,38.576668,-121.493629,39346023
Colorado,Denver,39.739227,-104.984856,5684926
Connecticut,Hartford<br>,41.764046,-72.682198,3570549
Delaware,Dover,39.157307,-75.519722,967679
Hawaii,Honolulu,21.307442,-157.857376,1420074
Florida,Tallahassee,30.438118,-84.281296,21216924
Georgia,Atlanta<br>,33.749027,-84.388229,10516579
Idaho,Boise,43.617775,-116.199722,1754367
Illinois,Springfield,39.798363,-89.654961,12716164
Indiana,Indianapolis,39.768623,-86.162643,6696893
Iowa,Des Moines,41.591087,-93.603729,3150011
Kansas,Topeka,39.048191,-95.677956,2912619
Kentucky,Frankfort,38.186722,-84.875374,4461952
Louisiana,Baton Rouge,30.457069,-91.187393,4664616
Maine,Augusta,44.307167,-69.781693,1340825
Maryland,Annapolis,38.978764,-76.490936,6037624
Massachusetts,Boston,42.358162,-71.063698,6873003
Michigan,Lansing,42.733635,-84.555328,9973907
Minnesota,St. Paul,44.955097,-93.102211,5600166
Mississippi,Jackson,32.303848,-90.182106,2981835
Missouri,Jefferson City,38.579201,-92.172935,6124160
Montana,Helena,46.585709,-112.018417,1061705
Nebraska,Lincoln,40.808075,-96.699654,1923826
Nevada,Carson City,39.163914,-119.766121,3030281
New Hampshire,Concord,43.206898,-71.537994,1355244
New Jersey,Trenton,40.220596,-74.769913,8885418
New Mexico,Santa Fe,35.68224,-105.939728,2097021
North Carolina,Raleigh,35.78043,-78.639099,10386227
North Dakota,Bismarck,46.82085,-100.783318,760394
New York,Albany,42.652843,-73.757874,19514849
Ohio,Columbus,39.961346,-82.999069,11675275
Oklahoma,Oklahoma City,35.492207,-97.503342,3949342
Oregon,Salem,44.938461,-123.030403,4176346
Pennsylvania,Harrisburg,40.264378,-76.883598,12794885
Rhode Island,Providence,41.830914,-71.414963,1057798
South Carolina,Columbia,34.000343,-81.033211,5091517
South Dakota,Pierre,44.367031,-100.346405,879336
Tennessee,Nashville,36.16581,-86.784241,6772268
Texas,Austin,30.27467,-97.740349,28635442
Utah,Salt Lake City,40.777477,-111.888237,3151239
Vermont,Montpelier,44.262436,-72.580536,624340
Virginia,Richmond,37.538857,-77.43364,8509358
Washington,Olympia,47.035805,-122.905014,7512465
West Virginia,Charleston,38.336246,-81.612328,1807426
Wisconsin,Madison,43.074684,-89.384445,5806975
Wyoming,Cheyenne,41.140259,-104.820236,581348
